# Метеостанция Виллакубле (аэропорт), Франция, METAR=LFPV, выборка с 18.01.2024 по 18.02.2024, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=LFPV&lang=ru
#
"Местное время в Виллакубле (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"17.02.2024 08:00";"9.0";"757.5";"773.9";"71";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"4.0";
"17.02.2024 07:30";"9.0";"757.0";"773.4";"71";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"4.0";
"17.02.2024 07:00";"9.0";"757.0";"773.4";"66";"Переменное направление";"1";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"3.0";
"17.02.2024 06:30";"9.0";"756.3";"772.7";"71";"Ветер, дующий с запада";"2";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"4.0";
"17.02.2024 06:00";"9.0";"756.3";"772.7";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"4.0";
"17.02.2024 05:30";"9.0";"756.3";"772.7";"66";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"3.0";
"17.02.2024 05:00";"9.0";"755.5";"771.9";"66";"Переменное направление";"2";"";"";"";"Сплошная (100%) 1020 м";"10.0 и более";"3.0";
"17.02.2024 04:30";"9.0";"755.5";"771.9";"66";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"3.0";
"17.02.2024 04:00";"9.0";"755.5";"771.9";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"17.02.2024 03:30";"9.0";"755.5";"771.9";"66";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"3.0";
"17.02.2024 03:00";"9.0";"755.5";"771.9";"66";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"3.0";
"17.02.2024 02:30";"9.0";"755.5";"771.9";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"4.0";
"17.02.2024 02:00";"9.0";"754.8";"771.1";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"17.02.2024 01:30";"9.0";"754.8";"771.1";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"17.02.2024 01:00";"9.0";"754.8";"771.1";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"17.02.2024 00:30";"9.0";"754.1";"770.4";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"17.02.2024 00:00";"9.0";"754.1";"770.4";"71";"Ветер, дующий с запада";"3";"";"";"";"Сплошная (100%) 1110 м";"10.0 и более";"4.0";
"16.02.2024 23:30";"9.0";"754.1";"770.4";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1110 м";"10.0 и более";"4.0";
"16.02.2024 23:00";"10.0";"753.3";"769.6";"67";"Ветер, дующий с северо-запада";"4";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"16.02.2024 22:30";"10.0";"753.3";"769.6";"67";"Ветер, дующий с северо-запада";"5";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"16.02.2024 22:00";"10.0";"753.3";"769.6";"67";"Ветер, дующий с северо-запада";"5";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"4.0";
"16.02.2024 21:30";"10.0";"752.7";"768.9";"76";"Ветер, дующий с северо-запада";"4";"";"";"";"Незначительная (10-30%) 870 м, сплошная (100%) 1200 м";"10.0 и более";"6.0";
"16.02.2024 21:00";"9.0";"752.6";"768.9";"82";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"6.0";
"16.02.2024 20:30";"9.0";"752.6";"768.9";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 1140 м";"10.0 и более";"6.0";
"16.02.2024 20:00";"9.0";"751.8";"768.1";"82";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1080 м";"10.0 и более";"6.0";
"16.02.2024 19:30";"10.0";"751.9";"768.1";"71";"Ветер, дующий с северо-запада";"3";"";"";"";"Разорванная (60-90%) 1050 м";"10.0 и более";"5.0";
"16.02.2024 19:00";"10.0";"751.1";"767.3";"71";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Незначительная (10-30%) 1050 м";"10.0 и более";"5.0";
"16.02.2024 18:30";"11.0";"751.1";"767.3";"67";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"5.0";
"16.02.2024 18:00";"11.0";"750.5";"766.6";"72";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 930 м";"10.0 и более";"6.0";
"16.02.2024 17:30";"12.0";"749.7";"765.8";"72";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Сплошная (100%) 840 м";"10.0 и более";"7.0";
"16.02.2024 17:00";"12.0";"749.7";"765.8";"72";"Ветер, дующий с северо-запада";"4";"";"";"";"Сплошная (100%) 870 м";"10.0 и более";"7.0";
"16.02.2024 16:30";"12.0";"748.9";"765.0";"77";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Сплошная (100%) 780 м";"10.0 и более";"8.0";
"16.02.2024 16:00";"12.0";"748.9";"765.0";"72";"Ветер, дующий с северо-запада";"5";"";"";"";"Сплошная (100%) 720 м";"10.0 и более";"7.0";
"16.02.2024 15:30";"11.0";"748.9";"765.0";"82";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Сплошная (100%) 570 м";"10.0 и более";"8.0";
"16.02.2024 15:00";"12.0";"748.3";"764.3";"82";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 600 м, сплошная (100%) 780 м";"10.0 и более";"9.0";
"16.02.2024 14:30";"12.0";"748.3";"764.3";"82";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 480 м, сплошная (100%) 720 м";"10.0 и более";"9.0";
"16.02.2024 14:00";"12.0";"747.5";"763.5";"88";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 480 м, сплошная (100%) 660 м";"10.0 и более";"10.0";
"16.02.2024 13:30";"12.0";"747.5";"763.5";"88";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 450 м, разорванная (60-90%) 630 м, сплошная (100%) 1290 м";"10.0 и более";"10.0";
"16.02.2024 13:00";"12.0";"747.5";"763.5";"88";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 300 м, разорванная (60-90%) 420 м, разорванная (60-90%) 1410 м";"10.0 и более";"10.0";
"16.02.2024 12:30";"12.0";"747.5";"763.5";"94";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 240 м, сплошная (100%) 390 м";"10.0 и более";"11.0";
"16.02.2024 12:00";"12.0";"746.8";"762.8";"94";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 180 м";"9.0";"11.0";
"16.02.2024 11:30";"12.0";"746.8";"762.8";"94";"Ветер, дующий с западо-северо-запада";"7";"";"Дымка";"";"Сплошная (100%) 120 м";"5.0";"11.0";
"16.02.2024 11:00";"12.0";"746.0";"762.0";"100";"Ветер, дующий с западо-юго-запада";"3";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 150 м";"3.3";"12.0";
"16.02.2024 10:30";"13.0";"746.1";"762.0";"88";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"11.0";
"16.02.2024 10:00";"13.0";"745.3";"761.2";"88";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 360 м, сплошная (100%) 510 м";"10.0 и более";"11.0";
"16.02.2024 09:30";"13.0";"745.3";"761.2";"88";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 450 м, сплошная (100%) 960 м";"10.0 и более";"11.0";
"16.02.2024 09:00";"13.0";"744.6";"760.5";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 360 м, сплошная (100%) 930 м";"10.0 и более";"11.0";
"16.02.2024 08:30";"13.0";"744.6";"760.5";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"11.0";
"16.02.2024 08:00";"13.0";"743.8";"759.7";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"11.0";
"16.02.2024 07:30";"13.0";"743.8";"759.7";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"11.0";
"16.02.2024 07:00";"13.0";"743.1";"759.0";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"11.0";
"16.02.2024 06:30";"13.0";"743.1";"759.0";"88";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"11.0";
"16.02.2024 06:00";"13.0";"743.1";"759.0";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"11.0";
"16.02.2024 05:30";"14.0";"742.4";"758.2";"82";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 480 м, сплошная (100%) 4200 м";"10.0 и более";"11.0";
"16.02.2024 05:00";"14.0";"742.4";"758.2";"82";"Ветер, дующий с юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"16.02.2024 04:30";"14.0";"741.9";"757.7";"77";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"16.02.2024 04:00";"14.0";"741.9";"757.7";"77";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"16.02.2024 03:30";"14.0";"741.9";"757.7";"77";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"16.02.2024 03:00";"14.0";"741.9";"757.7";"77";"Ветер, дующий с юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"16.02.2024 02:30";"14.0";"741.9";"757.7";"72";"Ветер, дующий с юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"16.02.2024 02:00";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"16.02.2024 01:30";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"16.02.2024 01:00";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"16.02.2024 00:30";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"16.02.2024 00:00";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 23:30";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 23:00";"15.0";"742.0";"757.7";"63";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"15.02.2024 22:30";"14.0";"741.9";"757.7";"67";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"15.02.2024 22:00";"14.0";"741.9";"757.7";"72";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 21:30";"14.0";"741.9";"757.7";"67";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"15.02.2024 21:00";"14.0";"741.9";"757.7";"67";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"15.02.2024 20:30";"14.0";"741.9";"757.7";"72";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 20:00";"15.0";"742.0";"757.7";"63";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"15.02.2024 19:30";"15.0";"742.0";"757.7";"63";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"15.02.2024 19:00";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 18:30";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 18:00";"15.0";"742.0";"757.7";"68";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 17:30";"16.0";"742.0";"757.7";"63";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 17:00";"16.0";"742.0";"757.7";"63";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 16:30";"16.0";"742.0";"757.7";"63";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 16:00";"17.0";"742.1";"757.7";"59";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 15:30";"17.0";"742.1";"757.7";"59";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 15:00";"17.0";"742.1";"757.7";"59";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 14:30";"16.0";"742.5";"758.2";"63";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"15.02.2024 14:00";"16.0";"742.5";"758.2";"63";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
