Дата;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
18.02.2024 4:00;06.авг;760.4;772.2;0.1;81;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;20.0;03.авг;;;;;;
18.02.2024 3:00;07.фев;760.3;772.2;;80;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;4.0;Осадков нет;1;;;;
18.02.2024 2:00;06.авг;760.3;772.1;;80;Ветер, дующий с севера;2;;;; ;;;;;;;;;;;03.июн;Осадков нет;1;;;;
18.02.2024 1:00;07.апр;760.3;772.1;0.4;77;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;20.0;03.май;Осадков нет;6;;;;
18.02.2024 0:00;09.янв;760.3;772.0;;77;Штиль, безветрие;0;;;; ;;;;;;;;;;;05.мар;Осадков нет;1;;;;
17.02.2024 23:00;10.мар;760.2;772.0;;72;Ветер, дующий с юго-востока;2;;;; ;;;;;;;;;;;05.апр;Осадков нет;1;;;;
17.02.2024 22:00;11.апр;759.9;771.7;1.0;58;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;20.0;03.мар;;;;;;
17.02.2024 21:00;10.апр;759.7;771.4;;61;Ветер, дующий с юго-востока;1;;;; ;;;;;;;;;;;03.фев;Осадков нет;1;;;;
17.02.2024 20:00;11.сен;759.2;771.0;;65;Ветер, дующий с юго-юго-востока;1;;;; ;;;;;;;;;;;05.апр;Осадков нет;1;;;;
17.02.2024 19:00;13.апр;758.9;770.7;01.янв;68;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;19.июн;;;;;;20.0;07.май;Осадков нет;12;;;;
17.02.2024 18:00;14.фев;758.6;770.4;;52;Ветер, дующий с юго-юго-запада;2;;;; ;;;;;;;;;;;04.май;Осадков нет;1;;;;
17.02.2024 17:00;15.сен;758.1;769.9;;50;Ветер, дующий с западо-юго-запада;3;;;; ;;;;;;;;;;;05.мар;Осадков нет;1;;;;
17.02.2024 16:00;17.авг;757.8;769.6;0.1;47;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;;;;;;;20.0;06.фев;;;;;;
17.02.2024 15:00;19.фев;757.6;769.4;;31;Штиль, безветрие;0;;;; ;;;;;;;;;;;01.июн;Осадков нет;1;;;;
17.02.2024 14:00;18.июл;757.4;769.2;;30;Ветер, дующий с западо-юго-запада;1;;;; ;;;;;;;;;;;0.7;Осадков нет;1;;;;
17.02.2024 13:00;17.фев;757.7;769.5;0.2;42;Переменное направление;1;;;Облаков нет.; ;;;;;;;;;;20.0;4.0;Осадков нет;6;;;;
17.02.2024 12:00;16.май;757.9;769.7;;49;Штиль, безветрие;0;;;; ;;;;;;;;;;;05.июн;Осадков нет;1;;;;
17.02.2024 11:00;15.янв;757.9;769.6;;66;Штиль, безветрие;0;;;; ;;;;;;;;;;;08.июл;Осадков нет;1;;;;
17.02.2024 10:00;11.авг;757.5;769.2;01.апр;62;Переменное направление;1;;;Облаков нет.; ;;;;;;;;;;20.0;04.авг;;;;;;
17.02.2024 9:00;09.янв;757.1;768.9;;65;Ветер, дующий с севера;1;;;; ;;;;;;;;;;;02.авг;Осадков нет;1;;;;
17.02.2024 8:00;06.июн;756.6;768.4;;77;Ветер, дующий с востоко-северо-востока;1;;;; ;;;;;;;;;;;02.сен;Осадков нет;1;;;;
17.02.2024 7:00;05.июн;756.1;767.8;0.8;81;Ветер, дующий с северо-северо-востока;2;;;10%  или менее, но не 0; ;;;04.май;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;02.июн;Осадков нет;12;;;;
17.02.2024 6:00;04.май;755.8;767.5;;88;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;02.июл;Осадков нет;1;;;;
17.02.2024 5:00;06.апр;755.5;767.2;;87;Ветер, дующий с востоко-северо-востока;2;;;; ;;;;;;;;;;;04.апр;Осадков нет;1;;;;
17.02.2024 4:00;05.сен;755.3;767.0;-0.1;85;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;10.0;03.июн;;;;;;
17.02.2024 3:00;07.сен;755.4;767.2;;67;Ветер, дующий с востоко-северо-востока;1;;;; ;;;;;;;;;;;2.0;Осадков нет;1;;;;
17.02.2024 2:00;06.май;755.4;767.2;;73;Ветер, дующий с северо-северо-востока;1;;;; ;;;;;;;;;;;01.сен;Осадков нет;1;;;;
17.02.2024 1:00;9.0;755.4;767.1;0.5;70;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;15.0;03.авг;Осадков нет;6;;;;
17.02.2024 0:00;09.апр;755.4;767.1;;66;Штиль, безветрие;0;;;; ;;;;;;;;;;;03.апр;Осадков нет;1;;;;
16.02.2024 23:00;10.апр;755.2;766.9;;68;Штиль, безветрие;0;;;; ;;;;;;;;;;;04.июл;Осадков нет;1;;;;
16.02.2024 22:00;11.май;754.9;766.7;0.6;66;Ветер, дующий с юго-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;16.0;05.мар;;;;;;
16.02.2024 21:00;12.янв;754.8;766.5;;72;Ветер, дующий с юго-юго-востока;1;;;; ;;;;;;;;;;;07.янв;Осадков нет;1;;;;
16.02.2024 20:00;12.апр;754.6;766.3;;79;Ветер, дующий с юго-юго-востока;1;;;; ;;;;;;;;;;;08.авг;Осадков нет;1;;;;
16.02.2024 19:00;13.фев;754.3;766.0;0.4;75;Переменное направление;1;;;60%.; ;;;;18.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;16.0;08.авг;Осадков нет;12;;;;
16.02.2024 18:00;13.июн;754.0;765.7;;73;Штиль, безветрие;0;;;; ;;;;;;;;;;;08.авг;Осадков нет;1;;;;
16.02.2024 17:00;14.июн;754.0;765.7;;69;Ветер, дующий с юга;2;;;; ;;;;;;;;;;;08.сен;Осадков нет;1;;;;
16.02.2024 16:00;15.июл;753.9;765.6;-0.4;56;Ветер, дующий с западо-юго-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;25.0;06.сен;;;;;;
16.02.2024 15:00;17.май;753.7;765.4;;35;Ветер, дующий с юго-запада;2;;;; ;;;;;;;;;;;01.авг;Осадков нет;1;;;;
16.02.2024 14:00;17.авг;753.8;765.6;;42;Штиль, безветрие;0;;;; ;;;;;;;;;;;04.май;Осадков нет;1;;;;
16.02.2024 13:00;15.май;754.3;766.0;-0.2;49;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;15.0;04.авг;Осадков нет;6;;;;
16.02.2024 12:00;13.авг;754.6;766.4;;52;Штиль, безветрие;0;;;; ;;;;;;;;;;;4.0;Осадков нет;1;;;;
16.02.2024 11:00;12.май;754.7;766.4;;61;Ветер, дующий с севера;2;;;; ;;;;;;;;;;;5.0;Осадков нет;1;;;;
16.02.2024 10:00;10.июл;754.5;766.3;0.4;69;Переменное направление;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;10.0;05.янв;;;;;;
16.02.2024 9:00;07.апр;754.4;766.2;;78;Штиль, безветрие;0;;;; ;;;;;;;;;;;03.авг;Осадков нет;1;;;;
16.02.2024 8:00;06.июл;754.3;766.1;;68;Штиль, безветрие;0;;;; ;;;;;;;;;;;01.фев;Осадков нет;1;;;;
16.02.2024 7:00;06.мар;754.1;765.9;0.4;71;Ветер, дующий с востока;1;;;70 – 80%.; ;;;5.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;15.0;01.апр;Осадков нет;12;;;;
16.02.2024 6:00;06.фев;754.3;766.0;;78;Ветер, дующий с востоко-северо-востока;1;;;; ;;;;;;;;;;;02.июн;Осадков нет;1;;;;
16.02.2024 5:00;6.0;754.1;765.9;;80;Ветер, дующий с востоко-северо-востока;1;;;; ;;;;;;;;;;;02.июл;Осадков нет;1;;;;
16.02.2024 4:00;05.мар;753.7;765.4;-1.0;82;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;20.0;02.май;;;;;;
16.02.2024 3:00;06.апр;754.2;766.0;;78;Штиль, безветрие;0;;;; ;;;;;;;;;;;02.авг;Осадков нет;1;;;;
16.02.2024 2:00;06.июл;754.6;766.3;;79;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;03.фев;Осадков нет;1;;;;
16.02.2024 1:00;06.сен;754.7;766.5;-0.4;68;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;01.мар;Осадков нет;6;;;;
16.02.2024 0:00;06.апр;754.8;766.6;;70;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;01.фев;Осадков нет;1;;;;
15.02.2024 23:00;08.май;755.0;766.8;;60;Ветер, дующий с востоко-юго-востока;1;;;; ;;;;;;;;;;;01.янв;Осадков нет;1;;;;
15.02.2024 22:00;09.сен;755.1;766.9;-0.2;63;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;10.0;03.фев;;;;;;
15.02.2024 21:00;09.июн;755.2;766.9;;78;Штиль, безветрие;0;;;; ;;;;;;;;;;;05.сен;Осадков нет;1;;;;
15.02.2024 20:00;10.июл;755.3;767.0;;75;Ветер, дующий с юго-востока;3;;;; ;;;;;;;;;;;06.май;Осадков нет;1;;;;
15.02.2024 19:00;11.авг;755.3;767.1;;73;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;18.мар;;;;;;10.0;07.янв;Осадков нет;12;;;;
15.02.2024 18:00;12.авг;755.0;766.7;;65;Ветер, дующий с юга;2;;;; ;;;;;;;;;;;06.апр;Осадков нет;1;;;;
15.02.2024 17:00;14.сен;754.7;766.5;;57;Ветер, дующий с западо-юго-запада;2;;;; ;;;;;;;;;;;06.апр;Осадков нет;1;;;;
15.02.2024 16:00;18.янв;754.8;766.5;-1.0;25;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-2.4;;;;;;
15.02.2024 15:00;17.сен;754.9;766.6;;24;Ветер, дующий с запада;2;;;; ;;;;;;;;;;;-2.8;Осадков нет;1;;;;
15.02.2024 14:00;17.янв;755.2;767.0;;29;Ветер, дующий с запада;2;;;; ;;;;;;;;;;;-1.0;Осадков нет;1;;;;
15.02.2024 13:00;16.май;755.8;767.5;-1.0;36;Переменное направление;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";30.0;01.мар;Осадков нет;6;;;;
15.02.2024 12:00;15.июн;756.4;768.1;;39;Штиль, безветрие;0;;;; ;;;;;;;;;;;01.май;Осадков нет;1;;;;
15.02.2024 11:00;12.мар;756.9;768.7;;48;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;01.апр;Осадков нет;1;;;;
15.02.2024 10:00;9.0;756.8;768.6;0.5;58;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;30.0;1.0;;;;;;
15.02.2024 9:00;07.апр;756.8;768.6;;58;Ветер, дующий с северо-востока;3;;;; ;;;;;;;;;;;-0.4;Осадков нет;1;;;;
15.02.2024 8:00;05.янв;756.7;768.5;;68;Ветер, дующий с востоко-северо-востока;2;;;; ;;;;;;;;;;;-0.4;Осадков нет;1;;;;
15.02.2024 7:00;04.июл;756.3;768.0;0.2;69;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;04.мар;;;;;;;30.0;-0.5;Осадков нет;12;;;;
15.02.2024 6:00;04.сен;756.1;767.9;;72;Ветер, дующий с востоко-северо-востока;1;;;; ;;;;;;;;;;;0.2;Осадков нет;1;;;;
15.02.2024 5:00;06.мар;756.1;767.8;;63;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;-0.4;Осадков нет;1;;;;
15.02.2024 4:00;05.янв;756.1;767.8;-0.4;75;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;1.0;;;;;;
15.02.2024 3:00;05.фев;756.1;767.8;;81;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;02.янв;Осадков нет;1;;;;
15.02.2024 2:00;05.апр;756.4;768.1;;84;Ветер, дующий с северо-востока;3;;;; ;;;;;;;;;;;02.авг;Осадков нет;1;;;;
15.02.2024 1:00;06.авг;756.5;768.2;-0.1;75;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;16.0;02.июл;Осадков нет;6;;;;
15.02.2024 0:00;07.май;756.7;768.4;;72;Штиль, безветрие;0;;;; ;;;;;;;;;;;02.авг;Осадков нет;1;;;;
14.02.2024 23:00;07.май;756.6;768.3;;67;Штиль, безветрие;0;;;; ;;;;;;;;;;;01.июл;Осадков нет;1;;;;
14.02.2024 22:00;09.фев;756.6;768.4;0.2;66;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;20.0;03.янв;;;;;;
14.02.2024 21:00;09.мар;756.5;768.3;;69;Ветер, дующий с юго-юго-востока;2;;;; ;;;;;;;;;;;03.сен;Осадков нет;1;;;;
14.02.2024 20:00;11.мар;756.3;768.0;;72;Штиль, безветрие;0;;;; ;;;;;;;;;;;06.апр;Осадков нет;1;;;;
14.02.2024 19:00;12.фев;756.4;768.1;01.янв;73;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;17.мар;;;;;;20.0;07.май;Осадков нет;12;;;;
14.02.2024 18:00;12.сен;756.0;767.8;;70;Ветер, дующий с юго-запада;2;;;; ;;;;;;;;;;;07.май;Осадков нет;1;;;;
14.02.2024 17:00;16.0;755.6;767.3;;31;Ветер, дующий с севера;3;;;; ;;;;;;;;;;;-1.0;Осадков нет;1;;;;
14.02.2024 16:00;17.мар;755.3;767.0;-0.8;28;Ветер, дующий с северо-северо-запада;3;;;Облаков нет.; ;;;;;;;;;;20.0;-1.3;;;;;;
14.02.2024 15:00;17.0;755.3;767.1;;26;Ветер, дующий с севера;4;;;; ;;;;;;;;;;;-2.6;Осадков нет;1;;;;
14.02.2024 14:00;16.июл;755.5;767.2;;34;Ветер, дующий с севера;3;;;; ;;;;;;;;;;;0.5;Осадков нет;1;;;;
14.02.2024 13:00;15.апр;756.1;767.8;-0.3;36;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;30.0;0.3;Осадков нет;6;;;;
14.02.2024 12:00;13.июл;756.3;768.1;;49;Ветер, дующий с северо-северо-востока;3;;;; ;;;;;;;;;;;03.фев;Осадков нет;1;;;;
14.02.2024 11:00;11.апр;756.4;768.1;;53;Ветер, дующий с северо-северо-востока;4;;;; ;;;;;;;;;;;02.фев;Осадков нет;1;;;;
14.02.2024 10:00;9.0;756.4;768.1;0.9;61;Ветер, дующий с северо-северо-востока;3;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;30.0;01.авг;;;;;;
14.02.2024 9:00;07.фев;756.3;768.1;;68;Ветер, дующий с севера;3;;;; ;;;;;;;;;;;01.июн;Осадков нет;1;;;;
14.02.2024 8:00;04.авг;755.8;767.6;;72;Ветер, дующий с севера;3;;;; ;;;;;;;;;;;0.2;Осадков нет;1;;;;
14.02.2024 7:00;05.май;755.5;767.3;0.5;67;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;03.май;;;;;;;20.0;-0.3;Осадков нет;12;;;;
14.02.2024 6:00;03.сен;755.6;767.3;;75;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;-0.2;Осадков нет;1;;;;
14.02.2024 5:00;05.июл;755.5;767.2;;66;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;-0.2;Осадков нет;1;;;;
14.02.2024 4:00;06.мар;755.0;766.7;0.6;64;Ветер, дующий с востоко-северо-востока;4;;;; ;;;;;;;;;;;0.0;;;;;;
14.02.2024 3:00;06.июн;754.9;766.6;;64;Ветер, дующий с востоко-северо-востока;3;;;; ;;;;;;;;;;;0.3;Осадков нет;1;;;;
14.02.2024 2:00;06.авг;754.6;766.3;;64;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;0.4;Осадков нет;1;;;;
14.02.2024 1:00;06.сен;754.4;766.2;0.8;62;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;20.0;0.1;Осадков нет;6;;;;
14.02.2024 0:00;08.июл;754.3;766.0;;60;Ветер, дующий с востоко-северо-востока;2;;;; ;;;;;;;;;;;01.фев;Осадков нет;1;;;;
13.02.2024 23:00;08.сен;753.8;765.6;;63;Ветер, дующий с востока;2;;;; ;;;;;;;;;;;02.фев;Осадков нет;1;;;;
13.02.2024 22:00;09.май;753.6;765.3;01.июл;61;Переменное направление;1;;;Облаков нет.; ;;;;;;;;;;16.0;02.фев;;;;;;
13.02.2024 21:00;10.фев;753.1;764.8;;58;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;02.фев;Осадков нет;1;;;;
13.02.2024 20:00;12.0;752.5;764.3;;51;Ветер, дующий с северо-востока;3;;;; ;;;;;;;;;;;02.фев;Осадков нет;1;;;;
13.02.2024 19:00;13.апр;751.9;763.6;2.0;49;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;16.июл;;;;;;16.0;02.сен;Осадков нет;12;;;;
13.02.2024 18:00;13.авг;751.2;762.9;;49;Ветер, дующий с севера;4;;;; ;;;;;;;;;;;03.мар;Осадков нет;1;;;;
13.02.2024 17:00;15.апр;750.3;762.0;;49;Ветер, дующий с северо-северо-запада;4;;;; ;;;;;;;;;;;04.авг;Осадков нет;1;;;;
13.02.2024 16:00;16.фев;749.9;761.5;0.2;49;Ветер, дующий с северо-северо-запада;4;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;30.0;05.мар;;;;;;
13.02.2024 15:00;16.фев;749.5;761.2;;50;Ветер, дующий с северо-северо-запада;4;;;; ;;;;;;;;;;;05.июл;Осадков нет;1;;;;
13.02.2024 14:00;15.июл;749.5;761.1;;52;Ветер, дующий с северо-северо-запада;4;;;; ;;;;;;;;;;;05.авг;Осадков нет;1;;;;
13.02.2024 13:00;14.авг;749.7;761.4;-0.1;59;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;20.0;06.авг;Осадков нет;6;;;;
13.02.2024 12:00;13.фев;749.9;761.5;;67;Ветер, дующий с северо-северо-запада;3;;;; ;;;;;;;;;;;07.фев;Осадков нет;1;;;;
13.02.2024 11:00;11.авг;750.0;761.6;;78;Ветер, дующий с северо-северо-востока;3;;;; ;;;;;;;;;;;08.янв;Осадков нет;1;;;;
13.02.2024 10:00;09.авг;749.8;761.5;01.мар;85;Ветер, дующий с северо-северо-востока;3;;;; ;;;;;;;;;;;07.мар;;;;;;
13.02.2024 9:00;08.янв;749.7;761.4;;88;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;06.фев;Осадков нет;1;;;;
13.02.2024 8:00;08.фев;749.1;760.7;;87;Ветер, дующий с востоко-северо-востока;3;;;; ;;;;;;;;;;;06.янв;Осадков нет;1;;;;
13.02.2024 7:00;07.сен;748.5;760.2;01.мар;89;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;06.июл;;;;;;;20.0;06.янв;Осадков нет;12;;;;
13.02.2024 6:00;07.июл;748.2;759.8;;90;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;06.фев;Осадков нет;1;;;;
13.02.2024 5:00;07.фев;747.6;759.2;;92;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;6.0;Осадков нет;1;;;;
13.02.2024 4:00;07.апр;747.2;758.8;0.7;91;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;20.0;6.0;;;;;;
13.02.2024 3:00;07.авг;747.0;758.6;;89;Ветер, дующий с северо-востока;3;;;; ;;;;;;;;;;;6.0;Осадков нет;1;;;;
13.02.2024 2:00;07.июл;746.8;758.5;;90;Ветер, дующий с востоко-северо-востока;2;;;; ;;;;;;;;;;;06.фев;Осадков нет;1;;;;
13.02.2024 1:00;07.июл;746.5;758.2;0.9;92;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;20.0;06.апр;Осадков нет;6;;;;
13.02.2024 0:00;07.июл;746.2;757.9;;89;Штиль, безветрие;0;;;; ;;;;;;;;;;;6.0;Осадков нет;1;;;;
12.02.2024 23:00;08.июл;745.9;757.5;;91;Ветер, дующий с юго-востока;1;;;; ;;;;;;;;;;;07.мар;Осадков нет;1;;;;
12.02.2024 22:00;09.июн;745.6;757.2;01.апр;83;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;06.сен;;;;;;
12.02.2024 21:00;10.мар;745.3;757.0;;86;Штиль, безветрие;0;;;; ;;;;;;;;;;;08.янв;Осадков нет;1;;;;
12.02.2024 20:00;10.янв;744.9;756.5;;88;Ветер, дующий с юго-юго-востока;1;;;; ;;;;;;;;;;;08.янв;Осадков нет;1;;;;
12.02.2024 19:00;10.июл;744.2;755.8;01.июн;86;Ветер, дующий с юго-востока;3;;;; ;;;;16.апр;;;;;;;08.май;1.0;12;;;;
12.02.2024 18:00;11.мар;743.8;755.3;;86;Ветер, дующий с юго-юго-запада;3;;;; ;;;;;;;;;;;9.0;Осадков нет;1;;;;
12.02.2024 17:00;14.янв;743.1;754.6;;52;Ветер, дующий с востока;2;;;; ;;;;;;;;;;;04.апр;Осадков нет;1;;;;
12.02.2024 16:00;14.сен;742.6;754.1;0.1;64;Ветер, дующий с юго-запада;3;;;50%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;8.0;;;;;;
12.02.2024 15:00;15.мар;742.4;754.0;;57;Ветер, дующий с юго-запада;2;;;; ;;;;;;;;;;;06.авг;Осадков нет;1;;;;
12.02.2024 14:00;15.фев;742.3;753.8;;50;Ветер, дующий с запада;1;;;; ;;;;;;;;;;;04.сен;Осадков нет;1;;;;
12.02.2024 13:00;15.янв;742.5;754.0;-0.1;56;Ветер, дующий с северо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;20.0;06.апр;Осадков нет;6;;;;
12.02.2024 12:00;14.май;742.8;754.3;;59;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;06.май;Осадков нет;1;;;;
12.02.2024 11:00;13.июн;742.8;754.4;;66;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;07.мар;Осадков нет;1;;;;
12.02.2024 10:00;10.фев;742.6;754.3;01.апр;88;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;20.0;08.фев;;;;;;
