Дата;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
17.02.2024 12:00;-3.7;755.7;770.2;-1.5;78;Ветер, дующий с юго-юго-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;11.0;-7.1;;;;;;
17.02.2024 9:00;-6.4;757.2;771.9;-1.3;83;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;-8.5;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;11.0;-8.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;62.0
17.02.2024 6:00;-7.6;758.5;773.3;-1.1;84;Ветер, дующий с юго-востока;1;;;100%.; ;;;-8.5;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;11.0;-9.8;Осадков нет;12;;;;
17.02.2024 3:00;-8.0;759.6;774.4;-1.0;84;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;11.0;-10.3;;;;;;
17.02.2024 0:00;-8.4;760.6;775.4;-0.6;84;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;12.0;-10.7;;;;;;
16.02.2024 21:00;-8.4;761.2;776.0;0.0;84;Ветер, дующий с юго-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-7.2;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;12.0;-10.7;0.4;12;;;;
16.02.2024 18:00;-8.0;761.2;776.0;0.2;83;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;11.0;-10.4;0.4;12;;;;
16.02.2024 15:00;-7.2;761.0;775.7;-0.5;83;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;04.янв;-9.6;;;;;;
16.02.2024 12:00;-8.3;761.5;776.4;0.0;84;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;5.0;-10.6;;;;;;
16.02.2024 9:00;-9.3;761.5;776.3;0.3;88;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-9.9;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;02.июн;-11.0;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;62.0
16.02.2024 6:00;-9.6;761.2;776.1;-0.2;87;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-9.9;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;7.0;-11.4;0.1;12;;;;
16.02.2024 3:00;-9.5;761.4;776.3;0.0;86;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;7.0;-11.4;;;;;;
16.02.2024 0:00;-9.8;761.4;776.3;0.1;84;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;04.фев;-12.0;;;;;;
15.02.2024 21:00;-9.9;761.3;776.2;0.4;80;Ветер, дующий с востоко-юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-9.9;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;11.0;-12.7;5.0;12;;;;
15.02.2024 18:00;-10.6;760.9;775.9;0.3;80;Ветер, дующий с юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;10.0;-13.4;8.0;12;;;;
15.02.2024 15:00;-10.9;760.6;775.6;0.3;80;Ветер, дующий с юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;6.0;-13.7;;;;;;
15.02.2024 12:00;-11.1;760.3;775.3;0.5;84;Ветер, дующий с юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;04.авг;-13.3;;;;;;
15.02.2024 9:00;-12.1;759.8;774.8;0.8;88;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег непрерывный сильный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;0.4;-13.7;6.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;54.0
15.02.2024 6:00;-11.9;759.0;774.0;-0.2;86;Ветер, дующий с востоко-юго-востока;3;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-11.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;02.мар;-13.8;2.0;12;;;;
15.02.2024 3:00;-11.3;759.2;774.1;-0.2;81;Ветер, дующий с востоко-юго-востока;2;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;01.фев;-13.9;;;;;;
15.02.2024 0:00;-10.3;759.4;774.2;0.2;75;Ветер, дующий с востока;2;;;100%.;  Диаметр отложения при гололеде составляет 4 мм.;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2000-2500;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-14.0;;;;;;
14.02.2024 21:00;-9.7;759.2;774.1;0.5;75;Ветер, дующий с востока;3;;;100%.; ;;;;-8.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-13.3;Осадков нет;12;;;;
14.02.2024 18:00;-8.9;758.7;773.5;0.4;76;Ветер, дующий с востоко-северо-востока;2;;;100%.;  Диаметр отложения при гололеде составляет 4 мм.;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-12.4;Осадков нет;12;;;;
14.02.2024 15:00;-8.4;758.3;773.1;0.1;69;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;20.0;-13.1;;;;;;
14.02.2024 12:00;-9.8;758.2;773.1;0.3;72;Ветер, дующий с востока;1;;;100%.;  Диаметр отложения при гололеде составляет 4 мм.;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";19.0;-13.9;;;;;;
14.02.2024 9:00;-13.9;757.9;772.9;01.янв;84;Ветер, дующий с востоко-северо-востока;1;;;60%.; ;;;-14.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;18.0;-16.0;Осадков нет;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;50.0
14.02.2024 6:00;-13.2;756.8;771.9;0.7;85;Штиль, безветрие;0;;;Облаков нет.;  Диаметр отложения при гололеде составляет 4 мм.;;;-13.2;;;;;;;19.0;-15.2;Осадков нет;12;;;;
14.02.2024 3:00;-11.9;756.1;771.1;0.6;85;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;20.0;-14.0;;;;;;
14.02.2024 0:00;-10.2;755.5;770.3;0.9;85;Ветер, дующий с востока;2;;;40%.;  Диаметр отложения при гололеде составляет 4 мм.;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-12.3;;;;;;
13.02.2024 21:00;-8.4;754.6;769.3;01.май;87;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;-4.7;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;;;20.0;-10.2;Следы осадков;12;;;;
13.02.2024 18:00;-7.6;753.1;767.8;01.фев;86;Ветер, дующий с востоко-северо-востока;1;;;100%.;  Диаметр отложения при гололеде составляет 4 мм.;;;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;17.0;-9.5;0.1;12;;;;
13.02.2024 15:00;-5.4;751.9;766.4;01.фев;83;Ветер, дующий с востоко-северо-востока;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;17.0;-7.9;;;;;;
13.02.2024 12:00;-4.9;750.7;765.2;01.апр;83;Ветер, дующий с востоко-северо-востока;1;;;100%.;Состояние неба в общем не изменилось.  Диаметр отложения при гололеде составляет 4 мм.;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;13.0;-7.4;;;;;;
13.02.2024 9:00;-5.2;749.3;763.7;01.май;87;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;-5.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;5.0;-7.0;0.2;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;50.0
13.02.2024 6:00;-4.6;747.8;762.1;01.апр;87;Ветер, дующий с востоко-северо-востока;1;;;100%.;Снег с перерывами слабый в срок наблюдения.  Диаметр отложения при гололеде составляет 4 мм.;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-4.6;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;9.0;-6.5;2.0;12;;;;
13.02.2024 3:00;-3.2;746.4;760.6;01.янв;89;Ветер, дующий с северо-востока;1;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Дождь.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;14.0;-4.8;;;;;;
13.02.2024 0:00;-2.5;745.3;759.4;0.9;92;Ветер, дующий с северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения.  Диаметр отложения при гололеде составляет 4 мм.;Снег и/или другие виды твердых осадков;Дождь.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;;;8.0;-3.7;;;;;;
12.02.2024 21:00;-2.1;744.4;758.5;0.3;92;Штиль, безветрие;0;;;100%.;Дождь или морось со снегом слабые. ;Снег и/или другие виды твердых осадков;Дождь.;;-2.1;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;8.0;-3.3;5.0;12;;;;
12.02.2024 18:00;-2.5;744.1;758.2;-0.1;92;Ветер, дующий с востока;1;;;100%.;Дождь замерзающий слабый.  Диаметр отложения при гололеде составляет 3 мм.;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;8.0;-3.7;4.0;12;;;;
12.02.2024 15:00;-2.5;744.2;758.3;-1.1;91;Ветер, дующий с юго-востока;1;;;100%.;Дождь замерзающий слабый. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;8.0;-3.8;;;;;;
12.02.2024 12:00;-3.4;745.3;759.6;-0.6;90;Ветер, дующий с юго-востока;1;;;100%.;Дождь замерзающий слабый.  Диаметр отложения при гололеде составляет 1 мм.;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;6.0;-4.8;;;;;;
12.02.2024 9:00;-5.0;745.9;760.3;-0.8;91;Ветер, дующий с востоко-юго-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.5;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;200-300;;;7.0;-6.2;0.1;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;52.0
12.02.2024 6:00;-5.2;746.7;761.1;-1.1;89;Ветер, дующий с юго-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.5;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;200-300;;;8.0;-6.7;0.1;12;;;;
12.02.2024 3:00;-5.8;747.8;762.3;-0.8;86;Ветер, дующий с юго-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;11.0;-7.8;;;;;;
12.02.2024 0:00;-6.2;748.6;763.1;-0.8;84;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;9.0;-8.5;;;;;;
11.02.2024 21:00;-6.5;749.4;763.9;-0.1;78;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;-5.4;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;19.0;-9.8;Осадков нет;12;;;;
11.02.2024 18:00;-6.0;749.5;763.9;-0.7;74;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;20.0;-9.9;Осадков нет;12;;;;
11.02.2024 15:00;-5.9;750.2;764.7;-0.8;70;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;20.0;-10.6;;;;;;
11.02.2024 12:00;-8.2;751.0;765.7;-0.4;74;Ветер, дующий с востоко-юго-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;18.0;-12.0;;;;;;
11.02.2024 9:00;-13.0;751.4;766.3;-0.1;81;Ветер, дующий с востоко-юго-востока;1;;;60%.; ;;;-13.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;15.0;-15.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;57.0
11.02.2024 6:00;-12.4;751.5;766.4;-0.5;78;Ветер, дующий с востока;1;;;100%.; ;;;-12.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;15.0;-15.5;Осадков нет;12;;;;
11.02.2024 3:00;-11.5;752.0;766.8;0.3;77;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;14.0;-14.7;;;;;;
11.02.2024 0:00;-12.5;751.7;766.6;0.1;81;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;14.0;-15.1;;;;;;
10.02.2024 21:00;-12.5;751.6;766.4;0.9;79;Штиль, безветрие;0;;;70 – 80%.; ;;;;-9.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";15.0;-15.5;Осадков нет;12;;;;
10.02.2024 18:00;-11.5;750.7;765.5;0.6;75;Ветер, дующий с юго-востока;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;16.0;-15.1;Следы осадков;12;;;;
10.02.2024 15:00;-9.8;750.1;764.8;0.9;71;Ветер, дующий с юго-востока;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;15.0;-14.2;;;;;;
10.02.2024 12:00;-11.4;749.2;764.0;01.апр;70;Ветер, дующий с востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;15.0;-15.9;;;;;;
